algorithm,width,height,run,gen_time_ms,coverage
Cellular,150,150,8,178.490,73.74
Cellular,150,150,9,178.041,73.91
Cellular,20,50,0,7.280,60.00
Cellular,20,50,1,6.933,50.10
Cellular,20,50,2,6.594,32.10
Cellular,20,50,3,6.985,61.00
Cellular,20,50,4,6.897,52.70
Cellular,20,50,5,7.060,53.10
Cellular,20,50,6,7.221,60.30
Cellular,20,50,7,7.100,51.70
Cellular,20,50,8,7.090,54.80
Cellular,20,50,9,6.971,50.40
Cellular,70,30,0,15.478,59.71
Cellular,70,30,1,15.824,66.95
Cellular,70,30,2,15.651,63.00
Cellular,70,30,3,15.258,53.29
Cellular,70,30,4,15.764,68.24
Cellular,70,30,5,15.498,66.76
Cellular,70,30,6,15.504,60.38
Cellular,70,30,7,15.886,65.90
Cellular,70,30,8,15.290,57.33
Cellular,70,30,9,15.312,56.52
